Record Type,Date,Time (system on),Time (system off),Upload (MB),Download (MB),Total (MB),Apps Used,Application,Month
App,2025-05-28,,,44.23,401.92,,,gamingservices.exe,
App,2025-05-28,,,49.02,447.88,,,FileCoAuth.exe,
App,2025-05-28,,,238.23,2164.29,,,backgroundTaskHost.exe,
App,2025-05-28,,,138.85,1274.96,,,explorer.exe,
App,2025-05-28,,,140.14,1278.02,,,msedge.exe,
App,2025-05-28,,,349.85,3161.51,,,node.exe,
DailyState,2025-05-28,,,42.91,389.41,69.77,,,
DailyState,2025-05-28,,,42.91,389.41,71.55,,,
DailyState,2025-05-28,,,42.91,389.41,73.39,,,
DailyState,2025-05-28,,,42.91,389.41,75.24,,,
DailyState,2025-05-28,,,42.91,389.41,76.87,,,
App,2025-05-28,,,610.6,5512.92,,,LockApp.exe,
App,2025-05-28,,,2460.96,22298.68,,,Code.exe,
App,2025-05-28,,,10735.27,97729.14,,,svchost.exe,
App,2025-05-28,,,5155.06,46958.42,,,WhatsApp.exe,
App,2025-05-28,,,1331.51,12073.63,,,Dropbox.exe,
App,2025-05-28,,,101.77,918.82,,,services.exe,
App,2025-05-28,,,375.29,3419.42,,,NortonSecurity.exe,
App,2025-05-28,,,356.18,3215.87,,,System,
App,2025-05-28,,,16363.81,148912.23,,,chrome.exe,
App,2025-05-28,,,101.77,918.82,,,lsass.exe,
App,2025-05-28,,,50.88,459.41,,,ollama.exe,
App,2025-05-28,,,589.02,5359.82,,,wpscloudsvr.exe,
App,2025-05-28,,,101.77,918.82,,,wininit.exe,
App,2025-05-28,,,101.77,918.82,,,spoolsv.exe,
App,2025-05-28,,,101.77,918.82,,,Bridge_Service.exe,
App,2025-05-28,,,197.66,1789.63,,,SearchApp.exe,
App,2025-05-28,,,203.53,1837.64,,,dasHost.exe,
App,2025-05-28,,,148.87,1350.94,,,cloudcode_cli.exe,
App,2025-05-28,,,46.32,425.63,,,smartscreen.exe,
App,2025-05-28,,,45.95,422.37,,,et.exe,
App,2025-05-28,,,45.95,422.37,,,wps.exe,
App,2025-05-28,,,89.57,815.97,,,promecefpluginhost.exe,
App,2025-05-28,,,49.96,451.58,,,SDXHelper.exe,
App,2025-05-28,,,46.31,425.62,,,MpDefenderCoreService.exe,
App,2025-05-28,,,44.21,401.64,,,MsMpEng.exe,
App,2025-05-28,,,44.23,401.92,,,gamingservices.exe,
App,2025-05-28,,,49.02,447.88,,,FileCoAuth.exe,
App,2025-05-28,,,238.23,2164.29,,,backgroundTaskHost.exe,
App,2025-05-28,,,138.85,1274.96,,,explorer.exe,
App,2025-05-28,,,140.14,1278.02,,,msedge.exe,
App,2025-05-28,,,915.01,8260.52,,,node.exe,
App,2025-05-28,,,50.09,452.69,,,git-remote-https.exe,
DailyState,2025-05-28,,,42.91,389.41,78.44,,,
DailyState,2025-05-28,,,42.91,389.41,80.28,,,
DailyState,2025-05-28,,,42.91,389.41,82.07,,,
DailyState,2025-05-28,,,42.91,389.41,83.9,,,
DailyState,2025-05-28,,,42.91,389.41,85.81,,,
App,2025-05-28,,,620.76,5613.47,,,LockApp.exe,
App,2025-05-28,,,2461.59,22304.86,,,Code.exe,
App,2025-05-28,,,11788.51,107269.75,,,svchost.exe,
App,2025-05-28,,,6136.04,55814.78,,,WhatsApp.exe,
App,2025-05-28,,,1392.44,12632.34,,,Dropbox.exe,
App,2025-05-28,,,103.46,935.58,,,services.exe,
App,2025-05-28,,,427.87,3895.59,,,NortonSecurity.exe,
App,2025-05-28,,,362.11,3274.53,,,System,
App,2025-05-28,,,17142.29,155950.75,,,chrome.exe,
App,2025-05-28,,,103.46,935.58,,,lsass.exe,
App,2025-05-28,,,51.73,467.79,,,ollama.exe,
App,2025-05-28,,,896.65,8137.34,,,wpscloudsvr.exe,
App,2025-05-28,,,103.46,935.58,,,wininit.exe,
App,2025-05-28,,,103.46,935.58,,,spoolsv.exe,
App,2025-05-28,,,103.46,935.58,,,Bridge_Service.exe,
App,2025-05-28,,,200.2,1814.77,,,SearchApp.exe,
App,2025-05-28,,,206.92,1871.16,,,dasHost.exe,
App,2025-05-28,,,148.87,1350.94,,,cloudcode_cli.exe,
App,2025-05-28,,,51.46,464.97,,,smartscreen.exe,
App,2025-05-28,,,101.98,920.8,,,et.exe,
App,2025-05-28,,,51.06,461.04,,,wps.exe,
App,2025-05-28,,,145.74,1315.84,,,promecefpluginhost.exe,
App,2025-05-28,,,51.72,467.59,,,SDXHelper.exe,
App,2025-05-28,,,46.31,425.62,,,MpDefenderCoreService.exe,
App,2025-05-28,,,44.21,401.64,,,MsMpEng.exe,
App,2025-05-28,,,44.23,401.92,,,gamingservices.exe,
App,2025-05-28,,,49.02,447.88,,,FileCoAuth.exe,
App,2025-05-28,,,238.23,2164.29,,,backgroundTaskHost.exe,
App,2025-05-28,,,138.85,1274.96,,,explorer.exe,
App,2025-05-28,,,248.44,2254.05,,,msedge.exe,
App,2025-05-28,,,927.85,8385.74,,,node.exe,
App,2025-05-28,,,50.09,452.69,,,git-remote-https.exe,
App,2025-05-28,,,154.89,1399.84,,,ollama app.exe,
DailyState,2025-05-28,,,42.91,389.41,87.59,,,
DailyState,2025-05-28,,,42.91,389.41,89.56,,,
DailyState,2025-05-28,,,42.91,389.41,98.82,,,
DailyState,2025-05-28,,,42.91,389.41,104.98,,,
